Model Name,Number of Features,Features Used,R2 Score,Mean Square Error,Mean Absolute Error,Mean Square Log Error,ranking
Linear Regression,1,['drying_temperature'],-0.00015403924094581356,0.0036692907687278314,0.05262067708811951,0.0028600681051754806,24.0
Support Vector Regression,1,['drying_temperature'],2.805387027127182e-07,0.0036687246117953188,0.052612405994916935,0.0028587835155657088,16.0
Decision Tree Regression,1,['drying_temperature'],-0.95132708607428,0.007158883714687504,0.06912371640448202,0.0055685326553762265,61.0
Random Forest Regression,1,['drying_temperature'],-0.43657622881125535,0.00527040404591227,0.060119018980944204,0.004099656774808266,57.0
Multi Perception Neural Network,1,['drying_temperature'],-0.010266003640705401,0.003706388791802259,0.05282331888234252,0.0028751942709567485,35.0
Linear Regression,1,['drying_time'],-0.0001371174129498609,0.0036692286871835697,0.052624100189311775,0.0028599412398380084,23.0
Support Vector Regression,1,['drying_time'],-0.0001661992191661632,0.003669335380351722,0.052623754430723466,0.0028592740122014185,25.0
Decision Tree Regression,1,['drying_time'],-0.9916365583138773,0.007306768109068691,0.06969263932933727,0.0056867899694088885,67.0
Random Forest Regression,1,['drying_time'],-0.4720085503368543,0.0054003955124139165,0.060721662905020506,0.004202759742950603,59.0
Multi Perception Neural Network,1,['drying_time'],-0.0023039316885438144,0.0036771781342757577,0.05265873537529178,0.00286687055096923,31.0
Linear Regression,1,['ambient_temperature'],0.00019416490765722383,0.003668013303239543,0.05260704233915054,0.002859069257172624,5.0
Support Vector Regression,1,['ambient_temperature'],-9.178822467492687e-05,0.0036690623868282585,0.052619147708451636,0.0028590965468197668,20.0
Decision Tree Regression,1,['ambient_temperature'],-0.9761483425442072,0.007249946094740931,0.06981092442455085,0.005639786812704287,65.0
Random Forest Regression,1,['ambient_temperature'],-0.45236047663042656,0.005328312120610596,0.06050455719766715,0.004144252796684705,58.0
Multi Perception Neural Network,1,['ambient_temperature'],-0.018647516899848116,0.003737138264406581,0.052928587975227336,0.0028921991398782707,39.0
Linear Regression,1,['relative_humidity'],-7.057096784435224e-05,0.0036689845465340924,0.05262017079522102,0.002859870937722451,19.0
Support Vector Regression,1,['relative_humidity'],-1.4927507179907096e-05,0.0036687804059431983,0.05261629452118179,0.0028586575996585113,17.0
Decision Tree Regression,1,['relative_humidity'],-1.0228914973718481,0.007421433905399025,0.07063720294149661,0.005780367736882529,73.0
Random Forest Regression,1,['relative_humidity'],-0.4728538263542379,0.005403496598212627,0.06085206586271795,0.004206053878894908,60.0
Multi Perception Neural Network,1,['relative_humidity'],-0.005093055426425908,0.003687410664048889,0.05271288593241397,0.0028781152432796058,33.0
Linear Regression,2,"['drying_temperature', 'drying_time']",-0.00020132772098313545,0.003669464257187069,0.0526222727507696,0.002860126093389416,27.0
Support Vector Regression,2,"['drying_temperature', 'drying_time']",-0.0003635719338350718,0.0036700594866908645,0.05262290891292028,0.0028598390935487598,29.0
Decision Tree Regression,2,"['drying_temperature', 'drying_time']",-1.0693898403097628,0.007592023568400054,0.07110006038270693,0.005909479404801369,74.0
Random Forest Regression,2,"['drying_temperature', 'drying_time']",-0.15875809896861837,0.004251165549419795,0.0552381069463799,0.0033107898839809437,54.0
Multi Perception Neural Network,2,"['drying_temperature', 'drying_time']",-0.014412390123758945,0.003721600746210194,0.05284468999349616,0.0029036232581417863,36.0
Linear Regression,2,"['drying_temperature', 'ambient_temperature']",0.00013379067048813198,0.0036682347997515023,0.052605209507841616,0.0028592431008975377,10.0
Support Vector Regression,2,"['drying_temperature', 'ambient_temperature']",-3.218416941663804e-05,0.0036688437159024248,0.052612451277592495,0.0028587769033112907,18.0
Decision Tree Regression,2,"['drying_temperature', 'ambient_temperature']",-0.9753582418412121,0.007247047432032869,0.0694962896782343,0.005632414602658724,64.0
Random Forest Regression,2,"['drying_temperature', 'ambient_temperature']",-0.17645489833760863,0.004316090251028705,0.056050381178969925,0.0033592271304770014,56.0
Multi Perception Neural Network,2,"['drying_temperature', 'ambient_temperature']",-0.02041196776499321,0.00374361155053785,0.05295823980614832,0.002914897500837531,40.0
Linear Regression,2,"['drying_temperature', 'relative_humidity']",-0.00013117480740976184,0.00366920688539425,0.052618924126626686,0.0028600452229270894,22.0
Support Vector Regression,2,"['drying_temperature', 'relative_humidity']",0.00011845367482365976,0.0036682910669807527,0.05261105674701473,0.0028585306283029858,12.0
Decision Tree Regression,2,"['drying_temperature', 'relative_humidity']",-1.0124333665417788,0.007383065892665661,0.07004025270143277,0.005740357541640982,70.0
Random Forest Regression,2,"['drying_temperature', 'relative_humidity']",-0.1534405586970644,0.004231656953078415,0.055078906556712784,0.0032946038797175745,52.0
Multi Perception Neural Network,2,"['drying_temperature', 'relative_humidity']",-0.009443021827119091,0.003703369497320665,0.05277041288824922,0.002890695542113467,34.0
